"location","year","sex","total"
"Canada",2001,"female",823
"Canada",2001,"male",2871
"Canada",2002,"female",799
"Canada",2002,"male",2851
"Canada",2003,"female",862
"Canada",2003,"male",2903
"Canada",2004,"female",879
"Canada",2004,"male",2734
"Canada",2005,"female",886
"Canada",2005,"male",2857
"Canada",2006,"female",817
"Canada",2006,"male",2695
"Canada",2007,"female",884
"Canada",2007,"male",2727
"Canada",2008,"female",928
"Canada",2008,"male",2777
"Canada",2009,"female",901
"Canada",2009,"male",2989
"Canada",2010,"female",970
"Canada",2010,"male",2981
"Canada",2011,"female",947
"Canada",2011,"male",2781
"Canada",2012,"female",954
"Canada",2012,"male",2972
"Canada",2013,"female",1013
"Canada",2013,"male",3041
"Chile",1985,"female",111
"Chile",1985,"male",572
"Chile",1986,"female",122
"Chile",1986,"male",532
"Chile",1987,"female",125
"Chile",1987,"male",568
"Chile",1988,"female",117
"Chile",1988,"male",580
"Chile",1989,"female",99
"Chile",1989,"male",626
"Chile",1990,"female",109
"Chile",1990,"male",634
"Chile",1991,"female",133
"Chile",1991,"male",654
"Chile",1992,"female",96
"Chile",1992,"male",562
"Chile",1993,"female",116
"Chile",1993,"male",624
"Chile",1994,"female",97
"Chile",1994,"male",704
"Chile",1995,"female",123
"Chile",1995,"male",807
"Chile",1996,"female",121
"Chile",1996,"male",796
"Chile",1997,"female",134
"Chile",1997,"male",776
"Chile",1998,"female",132
"Chile",1998,"male",899
"Chile",1999,"female",138
"Chile",1999,"male",903
"Chile",2000,"female",207
"Chile",2000,"male",1266
"Chile",2001,"female",233
"Chile",2001,"male",1392
"Chile",2002,"female",246
"Chile",2002,"male",1357
"Chile",2003,"female",252
"Chile",2003,"male",1402
"Chile",2004,"female",263
"Chile",2004,"male",1472
"Chile",2005,"female",279
"Chile",2005,"male",1403
"Chile",2006,"female",297
"Chile",2006,"male",1498
"Chile",2007,"female",352
"Chile",2007,"male",1496
"Chile",2008,"female",414
"Chile",2008,"male",1674
"Chile",2009,"female",424
"Chile",2009,"male",1724
"Chile",2010,"female",383
"Chile",2010,"male",1618
"Chile",2011,"female",370
"Chile",2011,"male",1657
"Chile",2012,"female",331
"Chile",2012,"male",1510
"Chile",2013,"female",318
"Chile",2013,"male",1420
"Chile",2014,"female",314
"Chile",2014,"male",1475
"Chile",2015,"female",378
"Chile",2015,"male",1460
"Colombia",1985,"female",218
"Colombia",1985,"male",783
"Colombia",1986,"female",218
"Colombia",1986,"male",740
"Colombia",1987,"female",195
"Colombia",1987,"male",756
"Colombia",1988,"female",171
"Colombia",1988,"male",741
"Colombia",1989,"female",178
"Colombia",1989,"male",653
"Colombia",1990,"female",200
"Colombia",1990,"male",665
"Colombia",1991,"female",212
